Despesa por função - transporte - empenhada - municipal
Sigla;Código;Município;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;
AM;1300201;Atalaia do Norte;1293756,18;1034476,27;1888169,91;1622489,17;1844296,65;1525157,17;898025,3;1622376,16;1812520,9;1549521,11;3639600,18;
AM;1300300;Autazes;616045;573134,77;51998,07;0;0;0;0;0;;;;
AM;1300409;Barcelos;752803,78;763181,4;798577,4;751542,72;1305029,33;1070924,51;1432425,49;723527,78;763714,55;446247,96;350770,25;
AM;1300508;Barreirinha;64432,49;15775,56;0;0;0;387086,75;59758,09;177,56;299712;;;
AM;1300607;Benjamin Constant;0;0;0;0;0;0;0;970372,72;1522815;;699616,6;
AM;1300631;Beruri;449774,69;0;0;0;0;0;0;328677,56;0,33;;;
AM;1300680;Boa Vista do Ramos;0;0;0;0;0;0;0;0;;;;
AM;1300706;Boca do Acre;1487176,04;891348,89;0;8400;22000;124149,17;386419,05;0;;;;
AM;1300805;Borba;24700;4804,6;0;0;0;0;1319633,94;1947054,32;;;;
AM;1300839;Caapiranga;0;0;251013,13;;45519;0;0;288047,62;1051708,73;;308875,7;
AM;1300904;Canutama;0;0;0;0;1935833,75;0;0;0;;;;
AM;1301001;Carauari;781694,49;12400;0;147778,99;146070;533969,77;551390;878376,33;451340;255000;1240792,08;
AM;1301100;Careiro;2045450,91;1052655,15;;60000;355069,29;412,37;1025553,26;2476546,29;;;;
AM;1301159;Careiro da Várzea;924605,7;706107,91;1392794,26;698785,35;0;0;569001,23;2168765,26;2447788,01;7622303,13;1319686,99;
AM;1301209;Coari;0;0;0;0;1264079,56;5172644,22;260681,88;0;;;948865,5;
AM;1301308;Codajás;456674,4;111165,6;0;0;0;0;0;0;;;;
AM;1301407;Eirunepé;0;0;0;0;889999,7;8859,5;2038630,05;3903222,92;1131859,61;50000;38310;
AM;1301506;Envira;901799,4;0;1190068,11;714574,48;0;0;0;0;;;268498,65;
AM;1301605;Fonte Boa;0;0;0;0;0;0;6175354,42;202381;;;;
AM;1301654;Guajará;515700,95;638078,42;0;0;0;5350;310421,95;151030,2;177680,44;;;
AM;1301704;Humaitá;186900;0;0;0;0;0;0;1803,28;192142,84;107100;500000;
AM;1301803;Ipixuna;310584,12;432696,8;584654,12;637981,83;597291,59;918277,33;1449225,13;1023610,98;1850157,84;1472300,16;2123614,52;
AM;1301852;Iranduba;430128,79;0;460695;611373,78;549979,13;771608,1;965560,25;777952,12;969144,64;1893030,59;2179737,12;
AM;1301902;Itacoatiara;14377061,56;1731616,51;1174892,63;1594045,4;1267327,64;1203954,48;1080611,85;861518,85;8077232,88;1515466,75;1030053,08;
AM;1301951;Itamarati;;328961,5;59693,16;61365,99;145063,39;190853,52;193694,73;0;;;;
AM;1302009;Itapiranga;0;0;0;0;0;0;0;0;;;987346,8;
AM;1302108;Japurá;1174853,85;2589298,14;1137867,81;0;31363,63;0;2300;0;;;;
AM;1302207;Juruá;410044,02;293238,92;421155,08;567194,98;2184541,61;891930,44;0;1826677,19;5082175,44;942123,75;1924176,09;
AM;1302306;Jutaí;0;0;0;0;0;0;217187,43;158952,63;;;;
AM;1302405;Lábrea;73360;36900;0;79000;1702484;;5192385,62;1254350,45;914588,38;;308875,7;
AM;1302504;Manacapuru;5030375,77;0;1036407,89;577642,57;70793,14;240939,18;0;0;;;;
AM;1302553;Manaquiri;964039,4;2040429,4;1756333,12;0;214489,43;547496,42;554233,8;558087,35;321206,73;219881,93;114417,6;
AM;1302603;Manaus;0;0;0;8274855,01;13110483,24;0;179293860,79;289882404,15;417001354,2;433875805,98;519375411,45;
AM;1302702;Manicoré;14329151,45;0;1430975,62;76603,7;176370,07;0;2205116,91;0;1823477,43;2812026,9;3260163,06;
AM;1302801;Maraã;0;0;0;0;0;0;0;0;;;;
AM;1302900;Maués;152442,08;176311,64;744515,36;325050,98;195853,49;295951,7;304043,87;239571,47;269275,25;279673,69;723459,12;
AM;1303007;Nhamundá;0;0;0;2000;2500;2000;0;0;98121,04;49190;74552,67;
AM;1303106;Nova Olinda do Norte;116393,74;269594,8;168696,98;473210,06;219480,54;245438,65;3474157,26;3507872,95;;;;
AM;1303205;Novo Airão;710519,69;691773,05;0;0;0;0;0;0;;;;
AM;1303304;Novo Aripuanã;703007,19;76000;1546897,98;0;440363,94;0;0;0;2367358,27;418863,33;739024,34;
AM;1303403;Parintins;0;233011,43;;1960;52910,64;0;0;0;;;;
AM;1303502;Pauini;;;0;0;0;0;0;0;554829,63;;;
AM;1303536;Presidente Figueiredo;4897908,36;5277119,05;2546967,37;5610923,96;7804754,72;4654804,03;1123075,99;1460932,75;8700169,74;12121418,29;12061793,58;
AM;1303569;Rio Preto da Eva;354546,81;38681;0;17961400,01;18400460,35;570093,36;1253786,82;3986639,59;14499533,06;15066541,01;21638897,07;
AM;1303601;Santa Isabel do Rio Negro;20091,25;;0;18300;35386;26739,87;0;0;1343063,2;1083759,03;1069094,45;
AM;1303700;Santo Antônio do Içá;111630;148668,89;0;135691,15;191953,29;3600;898025,3;0;2055160,29;234680,03;1198875,37;
AM;1303809;São Gabriel da Cachoeira;197740,99;294900,4;94420,47;0;48277,25;117465,92;96100,92;0;1072036,06;125156;;
AM;1303908;São Paulo de Olivença;0;0;0;0;282372,13;445772,06;0;0;;996479,28;;
AM;1303957;São Sebastião do Uatumã;0;0;0;0;0;0;0;0;;;;
AM;1304005;Silves;0;0;0;0;0;0;0;0;;;;
AM;1304062;Tabatinga;0;;;0;694110,14;1823359;0;0;7584;785296,98;;
AM;1304104;Tapauá;0;0;0;0;0;0;0;0;708878,59;579745,99;586394,44;
AM;1304203;Tefé;0;0;412300;0;0;28000;0;0;;;;
AM;1304237;Tonantins;0;0;0;0;0;0;0;0;;;;
AM;1304260;Uarini;0;63900;0;0;0;25448,3;2104981,16;3664545,11;1588706,14;1527735,38;;
AM;1304302;Urucará;0;0;44650;0;0;0;0;0;;;;
AM;1304401;Urucurituba;5000;195613,02;0;34015,79;0;0;0;0;2042965,39;;;
AP;1600055;Serra do Navio;18137;0;0;0;0;0;0;0;;;;
AP;1600105;Amapá;0;0;0;0;0;0;0;;;;;
AP;1600154;Pedra Branca do Amaparí;6511390,14;1272395,24;236332,5;0;167585,17;404200,81;2383359,63;2888209,87;4413,26;;;
AP;1600204;Calçoene;623174,87;229484,46;34373,04;0;0;0;;;;;;
AP;1600212;Cutias;0;;;;0;;;;;;;
AP;1600238;Ferreira Gomes;163335,5;158542,53;516418,2;0;30513,31;87502,58;97616,15;927344,19;;1911126,45;4046273,38;
AP;1600253;Itaubal;0;0;0;;0;0;0;0;;;;
AP;1600279;Laranjal do Jari;846991,64;0;;280094,3;1176522,74;709969,86;1013585,65;1504533,77;1796897,36;2895697,5;2689951,92;
AP;1600303;Macapá;13033283;13112294,13;12539542,08;14506231,83;18387219,76;15621889,58;3933237,3;10099022,15;15241294,63;12029982,77;31396820,5;
AP;1600402;Mazagão;0;0;;0;0;0;0;0;;;;
AP;1600501;Oiapoque;;;;0;0;0;;310647,93;;;;
AP;1600535;Porto Grande;1865655,92;0;7410,22;1589971,16;1679482,36;238999,33;218365,11;2801985,23;1964315,98;13156509,93;19884691,03;
AP;1600550;Pracuúba;78831,01;;34142,64;0;0;0;;0;;;;
AP;1600600;Santana;;1306975,28;535680,24;2013356,31;2191019,09;379125,48;173556,64;65208,88;;;;
AP;1600709;Tartarugalzinho;0;;;0;0;0;0;;;8253504,5;14695710,7;
AP;1600808;Vitória do Jari;0;0;3507,43;0;24730,06;0;0;0;;;404361,34;
BA;2900108;Abaíra;10064;13726;1760;7800;0;0;0;0;;;;
BA;2900207;Abaré;710482,56;411689,41;202187,23;16754,15;62300;0;0;0;;;;
BA;2900306;Acajutiba;0;78450;0;0;0;0;0;0;;;;
BA;2900355;Adustina;225500;348909,09;475651,96;346694,33;488920,94;614878,26;507305,44;801519,23;1306928,06;623466,08;976288,11;
BA;2900405;Água Fria;140637,56;111940,43;510964,77;284265,94;99287,5;877771,1;236125,1;301182,96;1340166,72;625139,46;710410,88;
BA;2900504;Érico Cardoso;463173,3;107290;180850;109290,63;45355;65155;118855,26;45760,2;;;;
BA;2900603;Aiquara;177338,7;177338,7;177338,7;138039,28;330246,06;218175,84;141662,88;776161,52;1607218,81;1937141,78;1903116,62;
BA;2900702;Alagoinhas;0;0;0;0;8062712,19;9004319,52;8384055,71;8380656,09;8878964,33;9957768,85;11129983,69;
BA;2900801;Alcobaça;0;0;0;0;0;0;0;0;;;;
BA;2900900;Almadina;5534;23329,96;107480,92;28616,31;0;0;0;0;;;;
BA;2901007;Amargosa;450644,85;472690,04;379892,11;388348,82;32891,28;823699,46;80356,39;129315,54;3098924,14;9450035,78;7412772,52;
BA;2901106;Amélia Rodrigues;0;30807;131249,7;257995,67;247544,25;492608,63;369264,34;143897,95;87109,2;5769,73;;
BA;2901155;América Dourada;0;0;0;0;0;0;0;0;;;;
BA;2901205;Anagé;0;0;0;0;0;0;0;0;;;;
BA;2901304;Andaraí;0;0;0;0;0;10486,71;11125,83;64007,21;5181,3;4877,53;2303,63;
BA;2901353;Andorinha;88505,81;643496,02;724300,59;1159085,2;1617967,37;1247248,68;1682182,71;1752874,44;2156982,51;3415063,04;4667773,51;
BA;2901403;Angical;158185;24466,69;27013,93;439580,89;2132391,78;431989,81;33094,8;0;72567,24;860082,09;1551350,2;
BA;2901502;Anguera;87086,07;110053,22;137729,1;26085,81;50073,4;58179,2;99308,19;77850;;;;
BA;2901601;Antas;0;0;0;462913,92;172024,19;335198,92;1488787,04;649472,62;1050009,87;1110658,63;218350,92;
BA;2901700;Antônio Cardoso;336228;0;0;0;0;0;0;0;;;;
BA;2901809;Antônio Gonçalves;184011,25;168502,96;73222,48;34806;14310;11214,7;74101,6;8783;317065,06;551996,51;662316,21;
BA;2901908;Aporá;0;0;0;0;0;0;0;0;;;;
BA;2901957;Apuarema;102973,62;138529,63;354125,88;153430,2;0;0;0;0;;;;
BA;2902005;Aracatu;;332237,97;75352,57;91196,85;67939,76;42560,99;91514,4;928659,85;1250164,65;1541060,09;1675832,22;
BA;2902054;Araças;4342888;5434521,37;5208144,16;3669665,29;5673487,69;5869876,02;6099871,8;903793,56;1648165,69;1803223,61;1744862,75;
BA;2902104;Araci;1855;106147,34;84146;137903,09;3225;0;0;0;;;;
BA;2902203;Aramari;7350;0;0;0;0;0;0;0;654741,02;409840,31;;
BA;2902252;Arataca;1983,68;13838,57;15961,68;48077,58;10901,67;26656,86;26656,86;7217,3;11389,53;188488,51;55551,93;
BA;2902302;Aratuípe;586473,05;626394,6;624803,26;577044,12;558661,42;513833,95;774109,28;1436622,09;2861926,62;3080149,35;2884696,56;
BA;2902401;Aurelino Leal;20317;4583,6;3830;3030;0;0;0;0;;;;
BA;2902500;Baianópolis;0;0;0;0;0;0;0;0;;8500;;
BA;2902609;Baixa Grande;346242,8;458514,72;421526,47;582646,43;242849,07;0;0;0;188307,27;46783,66;80986,89;
BA;2902658;Banzaê;2658,09;243186,78;312823,4;34378,5;30119,86;16471,17;13213,75;8928,3;267657,36;134877,01;966530,78;
BA;2902708;Barra;3998,02;3309,78;690164,76;1284339,28;450475,15;501987,93;0;0;1829540,9;147400;;
BA;2902807;Barra da Estiva;1100581,68;1184990,27;1769895,67;818930,43;153777,01;14280;0;0;2593826,5;2472273,93;3901192,28;
BA;2902906;Barra do Choça;1132159,37;861713,61;1018877,75;462739,2;0;0;0;22800;;;;
BA;2903003;Barra do Mendes;862944,92;680217,47;1407887,86;1090239,31;1169387,09;2562581,19;2894788,24;3492751,27;1778016,26;2215604,78;2665290,13;
BA;2903102;Barra do Rocha;0;0;0;0;0;0;0;0;;;;
BA;2903201;Barreiras;245200,16;121924,91;87546,48;0;35400;737184,63;4682955;610861,42;1841387,23;1059693,4;2163438,49;
BA;2903235;Barro Alto;239033,4;1558267,59;3236472,17;1971466,72;1290107,72;576589,13;2245393,94;4428886,02;436253,61;465758,45;465758,45;
BA;2903276;Barrocas;587620,39;516493,3;395775,8;0;166018,71;252157;525270;359501;588926;471901;641014,1;
BA;2903300;Governador Lomanto Júnior;0;6736,3;15878,52;19532,94;0;0;0;0;;;;
BA;2903409;Belmonte;;0;0;0;0;0;0;0;;;;
BA;2903508;Belo Campo;614654,14;715558,95;739504,56;791865,45;1982885,05;2052040,02;2931127,6;2492524,22;3747219,51;5840763,2;8153503,11;
BA;2903607;Biritinga;0;0;0;0;0;0;0;0;;;;
BA;2903706;Boa Nova;;1,23;17939,92;41440,21;52771,62;17197,06;0;22614,86;1456370,09;2780447,27;3946940,35;
BA;2903805;Boa Vista do Tupim;1063927,71;836916,15;1103731,65;1651105,41;1782658,6;1502160,84;2158020,95;2019332,34;2153568,53;2204861,52;2281165,77;
BA;2903904;Bom Jesus da Lapa;;0;1176450;1764950,63;4708043,59;134707,55;942196,6;377717,36;627927,48;605230,55;1320858,64;
BA;2903953;Bom Jesus da Serra;418004,67;480997,02;984831,44;985168,93;1721264,16;858010,93;1381658,11;503907,55;1501314,62;2667771,7;2382739,19;
BA;2904001;Boninal;192083,58;284292,76;252294,17;197335,9;276704,34;426468,99;797430,3;142354,55;192560,57;798017,81;1703627,62;
BA;2904050;Bonito;;1495,54;33840,73;892,28;0;904,28;475;0;987;158,35;89933,05;
BA;2904100;Boquira;110870,71;0;311295,12;145009,22;86069,4;122732,56;240969,6;48586,12;24387,66;54435,82;1038479,2;
BA;2904209;Botuporã;226954,05;126735,73;159261,99;58041,25;3056,12;0;0;0;;;;
