Despesa por função - urbanismo e habitação - empenhada - municipal
Sigla;Código;Município;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;
AM;1300029;Alvarães;3025638,53;2627669,69;3812819,22;3054827,1;6154474,95;4544289,48;4247932,73;10759265,89;19406667,15;21728251,95;16376290,26;
AM;1300060;Amaturá;2719471,95;833746,33;864034,04;2389755,21;1708057,21;1773066,35;3890024,91;1825577,53;5592193,58;4374654,52;5080818,67;
AM;1300086;Anamã;2511602,42;1980307,28;3301091,15;3025290,18;6912933,39;7080766,9;12008440,19;12223937,39;15525295,82;14371036,32;16548185,1;
AM;1300102;Anori;4683904,68;264232,55;2648300,32;2383924,47;4380372,55;4602170,19;10486559,01;;13810013,22;12692945,53;14784544,11;
AM;1300144;Apuí;2098692,64;2185324,84;2853473,75;2428511,13;2427554,9;3288996,73;4836290,64;5071979,88;7882053,19;7580192,67;5118100,83;
AM;1300201;Atalaia do Norte;3066272,51;1370354,28;2698785;1724876,01;1887843,55;2860740,08;9103523,87;4881503,5;5724849,79;6412809,83;5361137,66;
AM;1300300;Autazes;4233734,19;5132209,65;5255778,16;5008957,88;11093528,34;4904114,2;8620233,68;9763068,54;39599740,58;22477796,2;19223454,71;
AM;1300409;Barcelos;9227571,45;352992,89;5224296,11;0;7800;5913,36;14063;192468,7;9075650,65;6384496,16;9697274,05;
AM;1300508;Barreirinha;6029905,05;3362806,23;4091095,37;2957492,54;6374455,11;6573739,28;10992170,36;5512459,99;12982667,04;12025632,35;12885029,05;
AM;1300607;Benjamin Constant;3586232,17;4127958;4590779,21;5591370,63;9605204,99;9564169,96;14180190,85;10308670,99;17692413,26;18524978,62;32530564,59;
AM;1300631;Beruri;4189137,79;3452968,96;3021151,35;1862617,2;1308577,44;918794,52;3719373,99;2722086,19;6183157,92;12158571,63;8744630,67;
AM;1300680;Boa Vista do Ramos;2071139,43;1821409,9;1447567,32;2660575,8;2291696,76;2860936,08;3631144,79;4708691,89;11854159,49;9855440,35;9024196,06;
AM;1300706;Boca do Acre;4230119,79;3871859,05;4995999,97;3798346,82;0;297103,61;914581,07;279500;10679174,79;3854937,11;1567473,41;
AM;1300805;Borba;17284751,3;7858707,21;7269084,88;9096724,69;8801389,26;7149571,89;16516051;18091449,25;15813323,21;16609392,44;15100272,64;
AM;1300839;Caapiranga;3995709,82;1708663,47;2072991,47;;2186867,4;3168765,35;5243591,53;8897313,3;13981933,24;10648383,7;10666752,19;
AM;1300904;Canutama;3855186,76;2861030,23;3175493,92;3580259,74;4631908,07;3738168,65;9630699,87;5409232,12;8330340,13;11284001,27;13794099,03;
AM;1301001;Carauari;3374711,85;2895958,49;3122920,1;6090129,02;11866348,2;8205058,24;6005467,05;6989388,49;12848002,28;10389404,32;9069218,27;
AM;1301100;Careiro;2774120,16;6365531,54;;6588973,07;6818690,83;8942456,39;12430759,76;13127890,09;24492450,66;45492692,21;23766119,66;
AM;1301159;Careiro da Várzea;6737941,69;6876915,81;3441446,38;3230498,27;3911531,39;6971990,15;10155110,72;6800546,58;7358330,99;5950132,76;13841493,2;
