Municipio_ID;Municipio_Nome;Sigla_UF;Ano;PIB;Populacao;Receita_Corrente;Receita_Capital;Despesa_Total;Despesa_Assistencia_Previdencia;Despesa_Educacao_Cultura;Despesa_Saude_Saneamento;Despesa_Desportes_Lazer;Despesa_Seguranca_Defesa;Despesa_Trabalho;Despesa_Transporte;Despesa_Urbanismo_Habitacao
2206753;Nossa Senhora de Nazaré;PI;2014;25488000;4723;13135942,05;1307993,50;12754570,59;625928,68;5831794,14;3206045,43;65697,03;0,00;0,00;57000,00;459163,72
2206803;Nossa Senhora dos Remédios;PI;2014;48426000;8457;20870466,89;1209500,00;20936229,50;526495,00;13082407,03;3163429,06;35454,75;66352,00;0,00;10850,00;438508,63
2206902;Novo Oriente do Piauí;PI;2014;34971000;6493;12824990,45;1631696,27;13397396,91;574310,53;4514731,42;4154268,63;121255,52;0,00;0,00;117690,38;735024,65
2206951;Novo Santo Antônio;PI;2014;19303000;3371;10015508,39;2235552,56;11745574,66;377987,30;3483700,37;2956838,91;0,00;0,00;0,00;2166430,21;179142,02
2207009;Oeiras;PI;2014;307032000;36266;54610909,39;4977369,10;53457848,74;1979445,00;24167919,07;12281610,83;1190851,60;20700,00;0,00;564582,12;3707588,99
2207108;Olho D'Água do Piauí;PI;2014;14613000;2390;9963968,59;120000,00;9001258,69;372239,82;2264329,11;2432874,22;313094,76;0,00;0,00;112150,00;826386,29
2207207;Padre Marcos;PI;2014;43475000;6742;12871062,97;896469,66;12833763,21;443405,01;4840140,04;3148545,36;263767,77;13546,37;0,00;69046,16;347396,67
2207306;Paes Landim;PI;2014;29433000;4074;10974452,94;748302,97;10253147,52;371754,49;3690187,16;2523261,57;0,00;0,00;0,00;268655,41;218611,53
2207355;Pajeú do Piauí;PI;2014;20080000;3479;11551801,57;0,00;9943235,66;392547,75;2521384,43;2982472,82;393796,36;0,00;0,00;816,45;591681,20
2207405;Palmeira do Piauí;PI;2014;57670000;4988;13312178,55;202508,83;12268355,90;310852,12;4174835,06;3290207,30;218570,78;9000,00;0,00;103335,43;745636,16
2207504;Palmeirais;PI;2014;77981000;14151;26743520,39;1177007,14;26434614,87;992338,70;12976806,40;6647637,77;151395,12;0,00;0,00;122303,00;1040772,96
2207553;Paquetá;PI;2014;21804000;3909;11039949,36;364009,88;10767054,27;776301,32;4761857,81;2586941,00;0,00;3750,00;64020,92;70210,00;344905,90
2207603;Parnaguá;PI;2014;68739000;10530;18949581,00;3183792,39;20300004,94;678513,71;8120445,54;5624186,73;0,00;0,00;0,00;61254,48;1371376,57
2207702;Parnaíba;PI;2014;1661185000;149348;251984595,19;5580844,41;259192209,50;38627925,50;72479049,02;75310512,14;453199,28;0,00;686500,91;2889436,70;30558950,90
2207751;Passagem Franca do Piauí;PI;2014;33080000;4470;12126819,63;198357,54;11572496,26;570841,69;5362636,91;2663655,72;93948,00;0,00;0,00;29784,00;317610,00
2207777;Patos do Piauí;PI;2014;34171000;6241;11956315,49;1235339,38;13270401,50;943085,56;4784943,77;3115745,02;14076,42;7045,21;0,00;42217,00;1150602,92
2207793;Pau D'Arco do Piauí;PI;2014;19472000;3914;10443488,78;582260,15;10038861,34;290793,07;3621805,41;2477229,85;295360,32;0,00;0,00;88526,86;811146,74
2207801;Paulistana;PI;2014;144794000;20133;39207007,93;1010679,76;38405493,06;3346131,29;15551293,18;10134585,31;2900,00;0,00;0,00;146831,62;1979115,69
2207850;Pavussu;PI;2014;20522000;3645;10160637,02;97760,00;8996512,69;474318,79;2926847,39;2162069,07;126000,00;24752,00;0,00;222350,17;679339,34
2207900;Pedro II;PI;2014;230739000;38014;53229264,30;2775118,13;52521989,11;4166753,70;26243681,31;12796972,41;389543,64;0,00;95710,33;61450,55;2643764,16
2207934;Pedro Laurentino;PI;2014;18213000;2472;9243515,09;1006088,81;9367069,42;456580,50;2940715,98;2400152,18;13405,34;0,00;0,00;0,00;595048,29
